env,baseline,seed,step,avg_return,std_return
LunarLander-v3,value,2,80000,-181.6423249494267,10.67517746957091
LunarLander-v3,value,2,90000,-119.49648030254852,16.38953311573619
LunarLander-v3,value,2,100000,-116.60740990844322,7.544907905272076
LunarLander-v3,value,2,110000,-119.59507660876757,33.872515702118335
LunarLander-v3,value,2,120000,-70.58985191911286,21.615825007695214
LunarLander-v3,value,2,130000,-26.52437509704731,24.785271703340033
LunarLander-v3,value,2,140000,-175.01842112044417,24.190119991795243
LunarLander-v3,value,2,150000,-204.40552395157854,17.689169958187126
LunarLander-v3,value,2,160000,-122.84899153594738,19.790167909084722
LunarLander-v3,value,2,170000,-77.59511922917378,21.314170814809078
LunarLander-v3,value,2,180000,-56.32455174293826,22.99950758218521
LunarLander-v3,value,2,190000,-24.666407763083242,56.55607109294178
LunarLander-v3,value,2,200000,-72.25194533171285,62.43055059192832
LunarLander-v3,gae,0,10000,-768.1456221218939,117.52698762826962
LunarLander-v3,gae,0,20000,-1015.4275189055761,313.7475646878271
LunarLander-v3,gae,0,30000,-396.68743460192115,21.6451001564464
LunarLander-v3,gae,0,40000,-354.55147927230325,19.978155912542594
LunarLander-v3,gae,0,50000,-261.9628313872742,46.32375535990705
LunarLander-v3,gae,0,60000,-241.34280970381096,22.470871547620813
LunarLander-v3,gae,0,70000,-200.3501003002428,18.21629624034716
LunarLander-v3,gae,0,80000,-302.1464716495708,17.409015793077774
LunarLander-v3,gae,0,90000,-333.6419772643081,17.204544910492064
LunarLander-v3,gae,0,100000,-366.033595977037,21.542273632487277
LunarLander-v3,gae,0,110000,-388.85999877567406,24.011598337384783
LunarLander-v3,gae,0,120000,-382.1952631434232,5.511298737021224
LunarLander-v3,gae,0,130000,-351.65991711936323,22.648603594096663
LunarLander-v3,gae,0,140000,-321.0144833075707,18.912987397996435
LunarLander-v3,gae,0,150000,-192.2490373763674,17.85630296770122
LunarLander-v3,gae,0,160000,-307.275487740871,35.6382735569022
LunarLander-v3,gae,0,170000,-234.17352794187477,27.707949152006744
LunarLander-v3,gae,0,180000,-118.55175913519535,13.854743043649231
LunarLander-v3,gae,0,190000,-183.3518262674092,19.153571375447125
LunarLander-v3,gae,0,200000,-128.54443343567635,20.934847015405524
LunarLander-v3,gae,1,10000,-673.3469353701956,36.873769178855134
LunarLander-v3,gae,1,20000,-625.8044148971602,46.389227881045386
LunarLander-v3,gae,1,30000,-468.03675023222286,72.5006144910292
LunarLander-v3,gae,1,40000,-311.4522901463976,23.82881808009437
LunarLander-v3,gae,1,50000,-365.89910015845214,49.22522824622365
LunarLander-v3,gae,1,60000,-331.37358101250743,27.324081478688118
LunarLander-v3,gae,1,70000,-299.6530822905366,24.265868662401118
LunarLander-v3,gae,1,80000,-361.51413126908255,19.908361366616287
LunarLander-v3,gae,1,90000,-297.26732413911486,8.460081991717539
LunarLander-v3,gae,1,100000,-272.2949202785841,14.000173443029425
LunarLander-v3,gae,1,110000,-211.2744806055169,7.527993364115732
LunarLander-v3,gae,1,120000,-279.32038453118327,35.007915190727616
LunarLander-v3,gae,1,130000,-259.8601575994222,20.955306852186148
LunarLander-v3,gae,1,140000,-207.1358985235459,6.90776954338202
LunarLander-v3,gae,1,150000,-201.91873026446285,13.49540863244603
LunarLander-v3,gae,1,160000,-270.4748075832524,23.69107355953366
LunarLander-v3,gae,1,170000,-140.39902656158336,28.175483354937796
LunarLander-v3,gae,1,180000,-265.38417713086386,25.942440036282505
LunarLander-v3,gae,1,190000,-112.99882156989383,19.364951884307843
LunarLander-v3,gae,1,200000,-104.4572085762289,21.767882810583494
LunarLander-v3,gae,2,10000,-689.2864768324523,230.45524758034267
LunarLander-v3,gae,2,20000,-957.7978172800294,132.55438107475402
LunarLander-v3,gae,2,30000,-2027.683493583195,165.4693018448748
LunarLander-v3,gae,2,40000,-375.8307411355682,43.63807880796637
LunarLander-v3,gae,2,50000,-357.4285487947641,10.961649053655758
LunarLander-v3,gae,2,60000,-574.7691463187023,10.656527871222657
LunarLander-v3,gae,2,70000,-438.9762674474283,17.246979720616274
LunarLander-v3,gae,2,80000,-438.9561840643799,30.06579698669535
LunarLander-v3,gae,2,90000,-778.7100558049633,36.13034575222911
LunarLander-v3,gae,2,100000,-870.5377543678208,23.76029890598808
LunarLander-v3,gae,2,110000,-794.1028847284534,57.73546821944031
LunarLander-v3,gae,2,120000,-562.5861667958885,44.70470293094216
